OTUID,sort,Kingdom,Phylum,Class,Order,Family,Genus,Species
OTU1358,ml,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Beijerinckiaceae,g__Roseiarcus,s__norank
OTU136,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Pleomorphomonadaceae,g__Prosthecomicrobium,s__norank
OTU1369,ml,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__67-14,g__norank,s__norank
OTU137,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Verrucomicrobiaceae,g__norank,s__norank
OTU1370,ct,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__0319-6G20,f__norank,g__norank,s__norank
OTU1375,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU138,ctylmlxlhl,k__Bacteria,p__Acidobacteriota,c__Vicinamibacteria,o__Subgroup_17,f__norank,g__norank,s__norank
OTU1382,xl,k__Bacteria,p__unidentified_Bacteria,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__norank,s__norank
OTU1383,hl,k__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__norank
OTU1384,ct,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Planococcaceae,g__Planomicrobium,s__Planomicrobium_okeanokoites
OTU1388,ct,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Chthoniobacterales,f__Chthoniobacteraceae,g__Chthoniobacter,s__norank
OTU139,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Gammaproteobacteria,o__Steroidobacterales,f__Steroidobacteraceae,g__norank,s__norank
OTU1390,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Caloramatoraceae,g__Fonticella,s__norank
OTU1392,ct,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Pirellulales,f__Pirellulaceae,g__norank,s__norank
OTU1393,ct,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__Erysipelotrichaceae_bacterium
OTU1396,ylhl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__PeM15,f__norank,g__norank,s__norank
OTU14,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU140,ctyl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Anaerotruncus,s__norank
OTU1400,ctylxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__bacterium_ic1391
OTU1401,ylxl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Enterobacterales,f__Pectobacteriaceae,g__Pectobacterium,s__norank
OTU1405,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Lactobacillaceae,g__Lactobacillus,s__Lactobacillus_delbrueckii
OTU1407,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Reyranellales,f__Reyranellaceae,g__Reyranella,s__norank
OTU1408,ml,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__norank,f__norank,g__norank,s__norank
OTU1409,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__unidentified_Gammaproteobacteria,f__unidentified_Gammaproteobacteria,g__norank,s__norank
OTU141,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__norank,g__norank,s__norank
OTU1412,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__norank,f__norank,g__norank,s__norank
OTU1413,ct,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Pirellulales,f__Pirellulaceae,g__norank,s__norank
OTU142,ylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Intestinimonas,s__norank
OTU1421,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1,s__Clostridium_sp_CL-2
OTU1422,yl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__norank,g__norank,s__norank
OTU1424,xl,k__Bacteria,p__Verrucomicrobiota,c__Kiritimatiellae,o__WCHB1-41,f__norank,g__norank,s__norank
OTU143,ylxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Aerococcaceae,g__Aerococcus,s__Aerococcus_urinaeequi
OTU1434,xl,k__Bacteria,p__Firmicutes,c__Clostridia,o__unidentified_Clostridia,f__Ruminococcaceae,g__norank,s__norank
OTU1437,ctxl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1439,hl,k__Bacteria,p__Modulibacteria,c__Moduliflexia,o__Moduliflexales,f__Moduliflexaceae,g__Candidatus_Moduliflexus,s__bacterium_UASB14
OTU144,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__SZB30,f__norank,g__norank,s__norank
OTU1441,ctylxlhl,k__Bacteria,p__Sva0485,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1443,ct,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1448,xl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Cytophagales,f__Spirosomaceae,g__Flectobacillus,s__Flectobacillus_roseus
OTU145,ctylmlxlhl,k__Bacteria,p__Chloroflexi,c__KD4-96,o__norank,f__norank,g__norank,s__norank
OTU1450,yl,k__Bacteria,p__Chloroflexi,c__JG30-KF-CM66,o__norank,f__norank,g__norank,s__norank
OTU1452,hl,k__Bacteria,p__NB1-j,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1453,ml,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Hydrogenophaga,s__norank
OTU146,ctylmlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Peptostreptococcales-Tissierellales,f__Peptostreptococcaceae,g__Proteocatella,s__norank
OTU1461,hl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU1462,yl,k__Bacteria,p__unidentified_Bacteria,c__Bacteroidia,o__Chitinophagales,f__Saprospiraceae,g__norank,s__norank
OTU147,ctylmlxlhl,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU1475,ml,k__Bacteria,p__unidentified_Bacteria,c__Thermoleophilia,o__Gaiellales,f__unidentified_Gaiellales,g__unidentified_Gaiellales,s__norank
OTU1476,ml,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__norank,f__norank,g__norank,s__norank
OTU1477,ct,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1479,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU148,ylxl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Propionibacteriales,f__Propionibacteriaceae,g__Cutibacterium,s__norank
OTU149,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1490,ml,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__Epipyxis_sp_PR26KG
OTU1492,ml,k__Bacteria,p__Myxococcota,c__Myxococcia,o__Myxococcales,f__Anaeromyxobacteraceae,g__Anaeromyxobacter,s__norank
OTU1497,yl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Subgroup_2,f__norank,g__norank,s__norank
OTU1499,yl,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__Microtrichales,f__Microtrichaceae,g__IMCC26207,s__norank
OTU15,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU150,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__norank,s__norank
OTU1502,yl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__unidentified_Acidobacteriae,f__unidentified_Acidobacteriae,g__Paludibaculum,s__norank
OTU1505,hl,k__Bacteria,p__Dadabacteria,c__Dadabacteriia,o__Dadabacteriales,f__norank,g__norank,s__norank
OTU1506,hl,k__Bacteria,p__Chloroflexi,c__Ktedonobacteria,o__Ktedonobacterales,f__Ktedonobacteraceae,g__HSB_OF53-F07,s__norank
OTU151,ylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__UBA1819,s__norank
OTU1512,ct,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Legionellales,f__Legionellaceae,g__Legionella,s__norank
OTU1514,ct,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1515,yl,k__Bacteria,p__Desulfobacterota,c__Desulfomonilia,o__Desulfomonilales,f__Desulfomonilaceae,g__Desulfomonile,s__norank
OTU1516,ctylml,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU1517,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__norank,s__norank
OTU1518,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank,g__norank,s__norank
OTU1519,ct,k__Bacteria,p__Chloroflexi,c__Anaerolineae,o__SJA-15,f__norank,g__norank,s__norank
OTU152,ylxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__[Clostridium]_innocuum_group,s__norank
OTU1526,xl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1527,ylxl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__norank,s__norank
OTU1529,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Monoglobales,f__Monoglobaceae,g__Monoglobus,s__norank
OTU153,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Hyphomicrobium,s__norank
OTU1537,ylhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__norank
OTU1538,hl,k__Bacteria,p__Bdellovibrionota,c__Oligoflexia,o__Silvanigrellales,f__Silvanigrellaceae,g__Silvanigrella,s__norank
OTU154,ctmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhodobacterales,f__Rhodobacteraceae,g__Tropicimonas,s__norank
OTU1540,hl,k__Bacteria,p__MBNT15,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1542,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Phreatobacter,s__norank
OTU1543,ml,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Caulobacterales,f__Caulobacteraceae,g__Phenylobacterium,s__norank
OTU1547,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,s__norank
OTU1548,ml,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Corynebacteriales,f__Corynebacteriaceae,g__Corynebacterium,s__Corynebacterium_variabile
OTU155,ctyl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__[Clostridium]_spiroforme
OTU1559,hl,k__Bacteria,p__Nitrospinota,c__P9X2b3D02,o__norank,f__norank,g__norank,s__norank
OTU156,ctylmlxlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__Lolium_perenne
OTU1563,yl,k__Bacteria,p__Armatimonadota,c__Fimbriimonadia,o__Fimbriimonadales,f__Fimbriimonadaceae,g__norank,s__norank
OTU1564,ctylmlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Aeromonadales,f__Aeromonadaceae,g__Aeromonas,s__norank
OTU1569,hl,k__Bacteria,p__unidentified_Bacteria,c__Acidobacteriae,o__Acidobacteriales,f__norank,g__norank,s__norank
OTU157,ylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Phreatobacter,s__norank
OTU1571,hl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Synechococcales,f__Cyanobiaceae,g__Cyanobium_PCC-6307,s__norank
OTU1575,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__norank,s__norank
OTU1578,yl,k__Bacteria,p__unidentified_Bacteria,c__Thermodesulfovibrionia,o__norank,f__norank,g__norank,s__norank
OTU158,cthl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Acetobacterales,f__Acetobacteraceae,g__Roseomonas,s__norank
OTU1585,hl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU159,ctyl,k__Bacteria,p__Campilobacterota,c__Campylobacteria,o__Campylobacterales,f__Arcobacteraceae,g__Pseudarcobacter,s__norank
OTU1591,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Pseudoflavonifractor,s__norank
OTU16,ctylmlxlhl,k__Bacteria,p__Cyanobacteria,c__Cyanobacteriia,o__Chloroplast,f__unidentified_Chloroplast,g__unidentified_Chloroplast,s__norank
OTU160,ctylml,k__Bacteria,p__unidentified_Bacteria,c__Thermodesulfovibrionia,o__norank,f__norank,g__norank,s__norank
OTU1600,ylxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__norank,g__norank,s__norank
OTU1604,xl,k__Bacteria,p__Planctomycetes,c__unidentified_Planctomycetes,o__Planctomycetales,f__Schlesneriaceae,g__Planctopirus,s__norank
OTU161,ctylml,k__Bacteria,p__unidentified_Bacteria,c__Syntrophobacteria,o__Syntrophobacterales,f__norank,g__norank,s__norank
OTU1610,ml,k__Bacteria,p__Actinobacteriota,c__Coriobacteriia,o__Coriobacteriales,f__Eggerthellaceae,g__Enterorhabdus,s__norank
OTU1614,ctxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__norank,g__norank,s__norank
OTU1617,hl,k__Bacteria,p__Actinobacteriota,c__Actinobacteria,o__Frankiales,f__Acidothermaceae,g__Acidothermus,s__norank
OTU162,cthl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__unidentified_Alphaproteobacteria,f__unidentified_Alphaproteobacteria,g__unidentified_Alphaproteobacteria,s__bacterium_enrichment_culture_clone_Anammox_49
OTU1621,ml,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__norank,s__norank
OTU1623,yl,k__Bacteria,p__Chloroflexi,c__AD3,o__norank,f__norank,g__norank,s__norank
OTU1624,mlxl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Bacillales,f__Bacillaceae,g__Bacillus,s__norank
OTU163,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1632,yl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__norank,f__norank,g__norank,s__norank
OTU1633,yl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-GS-52,f__norank,g__norank,s__norank
OTU1634,ctxl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__Pedomicrobium,s__norank
OTU1635,yl,k__Bacteria,p__unidentified_Bacteria,c__Oligoflexia,o__Oligoflexales,f__norank,g__norank,s__norank
OTU1636,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Ruminococcaceae,g__Paludicola,s__norank
OTU164,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Anaerolineae,o__Anaerolineales,f__Anaerolineaceae,g__norank,s__norank
OTU1642,hl,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Gemmatimonadales,f__Gemmatimonadaceae,g__unidentified_Gemmatimonadaceae,s__Gemmatimonadetes_bacterium_SCN_70-22
OTU165,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Oscillibacter,s__norank
OTU1653,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Rhizobiales,f__norank,g__norank,s__norank
OTU1656,ct,k__norank,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU166,ctylmlxlhl,k__Bacteria,p__Desulfobacterota,c__Desulfobaccia,o__Desulfobaccales,f__Desulfobaccaceae,g__Desulfobacca,s__norank
OTU1661,xl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__Comamonadaceae,g__Rhizobacter,s__norank
OTU167,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__[Ruminococcus]_gauvreauii_group,s__bacterium_ic1296
OTU1670,ml,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__Frankiales,f__Sporichthyaceae,g__norank,s__norank
OTU1676,ctylmlxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1679,ml,k__Bacteria,p__Nitrospinota,c__P9X2b3D02,o__norank,f__norank,g__norank,s__norank
OTU168,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Negativicutes,o__Veillonellales-Selenomonadales,f__Veillonellaceae,g__Megasphaera,s__Megasphaera_elsdenii
OTU1686,ml,k__Bacteria,p__Actinobacteriota,c__Acidimicrobiia,o__IMCC26256,f__norank,g__norank,s__norank
OTU169,ctmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Rhizobiaceae,g__norank,s__norank
OTU1690,yl,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__AKIW659,f__norank,g__norank,s__norank
OTU1692,ml,k__Bacteria,p__Firmicutes,c__Bacilli,o__Exiguobacterales,f__Exiguobacteraceae,g__Exiguobacterium,s__norank
OTU1694,ctylhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1,s__norank
OTU1696,yl,k__Bacteria,p__Candidatus_Woesebacteria,c__Microgenomatia,o__unidentified_Microgenomatia,f__unidentified_Microgenomatia,g__unidentified_Microgenomatia,s__norank
OTU17,ylmlxlhl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_caecimuris
OTU170,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Butyricicoccaceae,g__Butyricicoccus,s__norank
OTU1704,hl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__JG36-GS-52,f__norank,g__norank,s__norank
OTU1706,ml,k__Bacteria,p__unidentified_Bacteria,c__Acidimicrobiia,o__Microtrichales,f__Ilumatobacteraceae,g__norank,s__norank
OTU1708,ctyl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank,g__norank,s__norank
OTU171,ctmlhl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Rhizobiales,f__Hyphomicrobiaceae,g__norank,s__norank
OTU1710,hl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1711,yl,k__Bacteria,p__Acidobacteriota,c__Thermoanaerobaculia,o__Thermoanaerobaculales,f__Thermoanaerobaculaceae,g__Subgroup_10,s__bacterium_enrichment_culture_clone_Anammox_2
OTU1715,mlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__norank
OTU172,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1720,ctmlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridiales,f__Clostridiaceae,g__Clostridium_sensu_stricto_1,s__norank
OTU1722,ml,k__Bacteria,p__unidentified_Bacteria,c__unidentified_Bacteria,o__unidentified_Bacteria,f__unidentified_Bacteria,g__unidentified_Bacteria,s__delta_proteobacterium_WX81
OTU1727,ml,k__Bacteria,p__Acidobacteriota,c__Acidobacteriae,o__Solibacterales,f__Solibacteraceae,g__Candidatus_Solibacter,s__norank
OTU173,ctylmlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelotrichaceae,g__ZOR0006,s__Firmicutes_bacterium_ZOR0006
OTU1733,hl,k__Bacteria,p__Entotheonellaeota,c__Entotheonellia,o__Entotheonellales,f__Entotheonellaceae,g__norank,s__norank
OTU1734,ml,k__Bacteria,p__unidentified_Bacteria,c__Acidobacteriae,o__Acidobacteriales,f__norank,g__norank,s__norank
OTU1739,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU174,ylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1749,ml,k__Bacteria,p__Berkelbacteria,c__unidentified_Berkelbacteria,o__unidentified_Berkelbacteria,f__unidentified_Berkelbacteria,g__unidentified_Berkelbacteria,s__Berkelbacteria_bacterium_GW2011_GWE1_39_12
OTU175,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Lactobacillales,f__Streptococcaceae,g__Streptococcus,s__Streptococcus_iniae
OTU1752,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__norank,f__norank,g__norank,s__norank
OTU1759,xl,k__Bacteria,p__unidentified_Bacteria,c__Clostridia,o__norank,f__norank,g__norank,s__norank
OTU176,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__Colidextribacter,s__norank
OTU1764,yl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Sphingobacteriales,f__AKYH767,g__unidentified_AKYH767,s__Bacteroidetes_bacterium_OLB10
OTU1766,xl,k__Bacteria,p__Desulfobacterota,c__Desulfuromonadia,o__unidentified_Desulfuromonadia,f__Desulfuromonadaceae,g__norank,s__norank
OTU177,ctylxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Oscillospirales,f__Oscillospiraceae,g__UCG-005,s__norank
OTU1772,ml,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Prevotellaceae,g__Prevotella,s__norank
OTU178,ctylmlxlhl,k__Bacteria,p__unidentified_Bacteria,c__Syntrophobacteria,o__Syntrophobacterales,f__norank,g__norank,s__norank
OTU1788,hl,k__Bacteria,p__Actinobacteriota,c__Thermoleophilia,o__Solirubrobacterales,f__Solirubrobacteraceae,g__Solirubrobacter,s__norank
OTU179,ctmlxl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Diplorickettsiales,f__Diplorickettsiaceae,g__Aquicella,s__norank
OTU1791,ml,k__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__norank,f__norank,g__norank,s__norank
OTU18,ctylmlxlhl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Anaerostignum,s__norank
OTU180,ctmlxlhl,k__Bacteria,p__Verrucomicrobiota,c__Verrucomicrobiae,o__Verrucomicrobiales,f__Rubritaleaceae,g__Luteolibacter,s__norank
OTU1800,xl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Chitinophagales,f__Chitinophagaceae,g__Flavisolibacter,s__norank
OTU1808,hl,k__Bacteria,p__unidentified_Bacteria,c__Alphaproteobacteria,o__Micropepsales,f__Micropepsaceae,g__norank,s__norank
OTU181,ctyl,k__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__norank
OTU182,ylmlxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Roseburia,s__norank
OTU1826,ml,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_UCG-001,s__norank
OTU1829,ctxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Clostridia_UCG-014,f__norank,g__norank,s__norank
OTU183,ctylmlxlhl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1833,hl,k__Bacteria,p__Myxococcota,c__Polyangia,o__Polyangiales,f__Polyangiaceae,g__norank,s__norank
OTU1834,ylxlhl,k__Bacteria,p__Bacteroidota,c__Bacteroidia,o__Bacteroidales,f__Bacteroidaceae,g__Bacteroides,s__Bacteroides_paurosaccharolyticus
OTU184,mlxlhl,k__Bacteria,p__Proteobacteria,c__Gammaproteobacteria,o__Burkholderiales,f__SC-I-84,g__norank,s__norank
OTU1841,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1847,hl,k__Bacteria,p__unidentified_Bacteria,c__Babeliae,o__Babeliales,f__Vermiphilaceae,g__norank,s__norank
OTU1849,ml,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
OTU185,ctxl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__Lachnospiraceae_NK4A136_group,s__norank
OTU1855,yl,k__Bacteria,p__Firmicutes,c__Bacilli,o__Erysipelotrichales,f__Erysipelatoclostridiaceae,g__Erysipelatoclostridium,s__norank
OTU1857,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Rhizobiales,f__unidentified_Rhizobiales,g__Phreatobacter,s__norank
OTU186,xlhl,k__Bacteria,p__Sva0485,c__norank,o__norank,f__norank,g__norank,s__norank
OTU1860,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__norank,s__norank
OTU1863,hl,k__Bacteria,p__Myxococcota,c__Polyangia,o__Haliangiales,f__Haliangiaceae,g__Haliangium,s__norank
OTU187,ctylmlxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Paracaedibacterales,f__Paracaedibacteraceae,g__Candidatus_Paracaedibacter,s__norank
OTU1872,yl,k__Bacteria,p__Firmicutes,c__Clostridia,o__Lachnospirales,f__Lachnospiraceae,g__A2,s__norank
OTU1876,yl,k__Bacteria,p__Acidobacteriota,c__Subgroup_22,o__norank,f__norank,g__norank,s__norank
OTU188,ylxlhl,k__Bacteria,p__Proteobacteria,c__Alphaproteobacteria,o__Sphingomonadales,f__Sphingomonadaceae,g__Sphingorhabdus,s__norank
OTU1881,yl,k__Bacteria,p__norank,c__norank,o__norank,f__norank,g__norank,s__norank
